fecha,juego,mercado,seleccion,cuota,probabilidad,valor,resultado,ganancia,stake_pct,stake_amount,bankroll_before,bankroll_after,profit_amount,yield_pct,created_at,settled_at
2026-04-08,San Diego Padres @ Pittsburgh Pirates,TOTAL,Under 7.0,2.02,0.52,24.26,lose,-1.0,1,10.67,1066.79,1056.12,-10.67,-100.0,,2026-06-05 14:54:18
2026-04-08,Milwaukee Brewers @ Boston Red Sox,TOTAL,Over 7.0,2.0,0.52,69.07,lose,-1.0,1,10.56,1056.12,1045.56,-10.56,-100.0,,2026-06-05 14:54:18
2026-04-08,Baltimore Orioles @ Chicago White Sox,TOTAL,Over 7.5,1.98,0.52,47.84,win,0.98,1,10.46,1045.56,1055.81,10.25,97.99,,2026-06-05 14:54:18
2026-04-08,Seattle Mariners @ Texas Rangers,ML,Seattle Mariners,1.79,0.732,31.03,lose,-1.0,1,10.56,1055.81,1045.25,-10.56,-100.0,,2026-06-05 14:54:18
2026-04-08,Houston Astros @ Colorado Rockies,TOTAL,Over 11.5,2.03,0.52,72.55,lose,-1.0,1,10.45,1045.25,1034.8,-10.45,-100.0,,2026-06-05 14:54:18
2026-04-08,Philadelphia Phillies @ San Francisco Giants,ML,Philadelphia Phillies,1.79,0.8181,46.44,lose,-1.0,1,10.35,1034.8,1024.45,-10.35,-100.0,,2026-06-05 14:54:18
2026-04-08,St. Louis Cardinals @ Washington Nationals,TOTAL,Over 8.5,1.95,0.52,51.99,lose,-1.0,1,10.24,1024.45,1014.21,-10.24,-100.0,,2026-06-05 14:54:18
2026-04-08,Atlanta Braves @ Los Angeles Angels,TOTAL,Under 8.5,2.0,0.52,25.34,lose,-1.0,1,10.14,1014.21,1004.07,-10.14,-100.0,,2026-06-05 14:54:18
2026-04-08,Arizona Diamondbacks @ New York Mets,TOTAL,Over 7.5,2.02,0.52,31.17,win,1.02,1,10.04,1004.07,1014.31,10.24,101.99,,2026-06-05 14:54:18
2026-04-08,Cincinnati Reds @ Miami Marlins,TOTAL,Over 7.5,1.95,0.52,16.21,win,0.95,1,10.14,1014.31,1023.94,9.63,94.97,,2026-06-05 14:54:18
2026-04-08,Athletics @ New York Yankees,RL,New York Yankees,2.05,0.8533,56.23,lose,-1.0,1,10.24,1023.94,1013.7,-10.24,-100.0,,2026-06-05 14:54:18
2026-04-08,Detroit Tigers @ Minnesota Twins,RL,Detroit Tigers,2.19,0.8569,38.5,lose,-1.0,1,10.14,1013.7,1003.56,-10.14,-100.0,,2026-06-05 14:54:18
2026-04-08,San Diego Padres @ Pittsburgh Pirates,TOTAL,Over 3.5,2.06,0.52,61.18,win,1.06,1,10.04,1003.56,1014.2,10.64,105.98,,2026-06-05 14:54:18
2026-04-08,Kansas City Royals @ Cleveland Guardians,TOTAL,Under 9.5,2.12,0.52,38.24,lose,-1.0,1,10.14,1014.2,1004.06,-10.14,-100.0,,2026-06-05 14:54:18
2026-04-08,Milwaukee Brewers @ Boston Red Sox,ML,Milwaukee Brewers,2.25,0.8159,83.58,lose,-1.0,1,10.04,1004.06,994.02,-10.04,-100.0,,2026-06-05 14:54:18
2026-04-08,Houston Astros @ Colorado Rockies,TOTAL,Over 11.0,1.93,0.52,64.05,lose,-1.0,1,9.94,994.02,984.08,-9.94,-100.0,,2026-06-05 14:54:18
2026-04-24,Detroit Tigers @ Cincinnati Reds,ML,Detroit Tigers,1.93,0.8057,55.5,lose,-1.0,1,9.84,984.08,974.24,-9.84,-100.0,,2026-06-05 14:54:18
2026-04-24,Boston Red Sox @ Baltimore Orioles,ML,Baltimore Orioles,1.85,0.7451,37.84,win,0.85,1,9.74,974.24,982.52,8.28,85.01,,2026-06-05 14:54:18
2026-04-24,Cleveland Guardians @ Toronto Blue Jays,ML,Cleveland Guardians,1.85,0.8332,54.14,win,0.85,1,9.83,982.52,990.88,8.36,85.05,,2026-06-05 14:54:18
2026-04-24,Colorado Rockies @ New York Mets,TOTAL,Over 7.5,2.05,0.52,43.25,lose,-1.0,1,9.91,990.88,980.97,-9.91,-100.0,,2026-06-05 14:54:18
2026-04-24,Minnesota Twins @ Tampa Bay Rays,ML,Minnesota Twins,2.24,0.6743,51.04,lose,-1.0,1,9.81,980.97,971.16,-9.81,-100.0,,2026-06-05 14:54:18
2026-04-24,Los Angeles Angels @ Kansas City Royals,TOTAL,Over 8.5,1.98,0.52,42.4,win,0.98,1,9.71,971.16,980.68,9.52,98.04,,2026-06-05 14:54:18
2026-04-24,Washington Nationals @ Chicago White Sox,ML,Chicago White Sox,1.83,0.66,20.78,win,0.83,1,9.81,980.68,988.82,8.14,82.98,,2026-06-05 14:54:18
2026-04-24,Pittsburgh Pirates @ Milwaukee Brewers,ML,Pittsburgh Pirates,1.92,0.6355,22.02,win,0.92,1,9.89,988.82,997.92,9.1,92.01,,2026-06-05 14:54:18
2026-04-24,Athletics @ Texas Rangers,TOTAL,Over 8.5,1.97,0.52,54.89,win,0.97,1,9.98,997.92,1007.6,9.68,96.99,,2026-06-05 14:54:18
